Discipline,Total Female Participants,Total Male Participants,Total Participants,Percentage Female,Percentage Male
Tennis,94,97,191,49.21,50.79
Boxing,102,187,289,35.29,64.71
Marathon Swimming,25,25,50,50.00,50.00
Golf,60,60,120,50.00,50.00
Rowing,257,265,522,49.23,50.77
Baseball/Softball,90,144,234,38.46,61.54
Judo,192,201,393,48.85,51.15
Sailing,175,175,350,50.00,50.00
Swimming,361,418,779,46.34,53.66
Cycling BMX Freestyle,10,9,19,52.63,47.37
Basketball,144,144,288,50.00,50.00
Handball,168,168,336,50.00,50.00
Rhythmic Gymnastics,96,0,96,100.00,0.00
Karate,40,42,82,48.78,51.22
Triathlon,55,55,110,50.00,50.00
Badminton,86,87,173,49.71,50.29
Canoe Sprint,123,126,249,49.40,50.60
Athletics,969,1072,2041,47.48,52.52
Cycling Track,90,99,189,47.62,52.38
Beach Volleyball,48,48,96,50.00,50.00
Skateboarding,40,40,80,50.00,50.00
Equestrian,73,125,198,36.87,63.13
Shooting,178,178,356,50.00,50.00
Diving,72,71,143,50.35,49.65
Canoe Slalom,41,41,82,50.00,50.00
Rugby Sevens,146,151,297,49.16,50.84
Artistic Gymnastics,98,98,196,50.00,50.00
Cycling Mountain Bike,38,38,76,50.00,50.00
3x3 Basketball,32,32,64,50.00,50.00
Cycling Road,70,131,201,34.83,65.17
Wrestling,96,193,289,33.22,66.78
Table Tennis,86,86,172,50.00,50.00
Taekwondo,65,65,130,50.00,50.00
Water Polo,122,146,268,45.52,54.48
Weightlifting,98,99,197,49.75,50.25
Surfing,20,20,40,50.00,50.00
Sport Climbing,20,20,40,50.00,50.00
Cycling BMX Racing,24,24,48,50.00,50.00
Trampoline Gymnastics,16,16,32,50.00,50.00
Modern Pentathlon,36,36,72,50.00,50.00
Volleyball,144,144,288,50.00,50.00
Archery,64,64,128,50.00,50.00
Artistic Swimming,105,0,105,100.00,0.00
Fencing,107,108,215,49.77,50.23
Hockey,192,192,384,50.00,50.00
Football,264,344,608,43.42,56.58
